Transaction ID,Transaction
T1,"Oryx and Crake, The Left Hand of Darkness"
T2,"Death of a Ferryman, Lonesome Dove"
T3,"Death of a Ferryman, Lonesome Dove, Gideon the Ninth"
T4,"Perdido Street Station, Oryx and Crake, The Traitor Baru Cormorant"
T5,"The Traitor Baru Cormorant, A Memory Called Empire, This Is How You Lose The Time War, Gideon the Ninth"
T6,"Death of a Ferryman, The Traitor Baru Cormorant, Gideon the Ninth"
T7,"Lonesome Dove, Jane Eyre"
T8,"Lonesome Dove, Perdido Street Station, This Is How You Lose the Time War"
T9,"Jane Eyre, Oryx and Crake"
T10,"Oryx and Crake, A Memory Called Empire, Gideon the Ninth"
T11,"The Traitor Baru Cormorant, A Memory Called Empire, Oryx and Crake, Gideon the Ninth, Jane Eyre"
T12,"Death of a Ferryman, Jane Eyre, The Left Hand of Darkness"
T13,"The Traitor Baru Cormorant, Gideon the Ninth"
T14,"The Traitor Baru Cormorant, This Is How You Lose the Time War, A Memory Called Empire"
T15,"A Memory Called Empire, Jane Eyre"
T16,"Lonesome Dove, Oryx and Crake, The Left Hand of Darkness"
T17,"Death of a Ferryman, Gideon the Ninth, Perdido Street Station"
T18,"The Left Hand of Darkness, A Memory Called Empire, Jane Eyre, Lonesome Dove"
T19,"Perdido Street Station, Jane Eyre, The Traitor Baru Cormorant, Gideon the Ninth"
T20,"Oryx and Crake, Lonesome Dove, The Left Hand of Darkness, This Is How You Lose the Time War"
