Transaction ID,Transaction
T1,"No. 2 Pencils, Pilot G2 Pens, Sticky Notes, Spiral Notebook"
T2,"Stapler, Printer Paper, File Folder"
T3,"Printer, Printer Paper, Printer Ink Cartridge"
T4,"Printer, Stapler, Printer Paper, File Folder"
T5,"File Folder, Sticky Notes"
T6,"Bluetooth Mouse, File Folder"
T7,"Bluetooth Mouth, Pilot G2 Pens, Printer Paper"
T8,"Printer Ink Cartridge, Printer Paper"
T9,"No. 2 Pencils, Spiral Notebook, Sticky Notes, File Folder"
T10,"Stapler, File Folder, Spiral Notebook"
T11,"Stapler, Pilot G2 Pens, Printer Paper"
T12,"Printer Paper, Sticky Notes, File Folder"
T13,"Pilot G2 Pens, Bluetooth Mouse, Printer"
T14,"Printer Ink Cartridge, Sticky Notes"
T15,"Printer Paper, File Folder, No. 2 Pencils"
T16,"Stapler, Printer Paper, Spiral Notebook, File Folder, No. 2 Pencils"
T17,"Sticky Notes, Pilot G2 Pens, No. 2 Pencils, File Folder"
T18,"Spiral Notebook, Pilot G2 Pens, No. 2 Pencils"
T19,"File Folder, Sticky Notes, Printer Paper"
T20,"Spiral Notebook, Printer Paper, Stapler"
T21,"Sticky Notes, No. 2 Pencils, Printer Paper"
T22,"Pilot G2 Pens, Spiral Notebook"
T23,"Bluetooth Mouse, Printer, Printer Ink Cartridge"
T24,"Stapler, File Folder, No. 2 Pencils"
T25,"Printer Paper, Sticky Notes, Pilot G2 Pens, Spiral Notebook"
T26,"Printer Ink Cartridge, Bluetooth Mouse"
T27,"No. 2 Pencils, Stapler, File Folder"
T28,"Printer, Sticky Notes, Pilot G2 Pens, Printer Paper"
T29,"Spiral Notebook, Bluetooth Mouse, Printer Ink Cartridge"
T30,"Stapler, Printer Paper"
T31,"Sticky Notes, Pilot G2 Pens, Printer Paper"
T32,"No. 2 Pencils, Bluetooth Mouse, Stapler"
T33,"Printer, File Folder, Spiral Notebook"
T34,"Printer Ink Cartridge, No. 2 Pencils"
T35,"Sticky Notes, Printer Paper"
T36,"Pilot G2 Pens, Bluetooth Mouse, Stapler"
T37,"Spiral Notebook, Printer, Printer Ink Cartridge"
T38,"File Folder, No. 2 Pencils, Sticky Notes"
T39,"Printer Paper, Pilot G2 Pens, Bluetooth Mouse"
T40,"Stapler, Printer Ink Cartridge"
T41,"No. 2 Pencils, Spiral Notebook, Printer"
T42,"Sticky Notes, File Folder, Pilot G2 Pens"
T43,"Printer Paper, Bluetooth Mouse, Stapler"
T44,"Printer Ink Cartridge, No. 2 Pencils"
T45,"Spiral Notebook, Sticky Notes, Pilot G2 Pens"
T46,"Bluetooth Mouse, Printer, File Folder"
T47,"Stapler, Printer Paper"
T48,"No. 2 Pencils, Printer Ink Cartridge, Pilot G2 Pens"
T49,"Sticky Notes, Spiral Notebook, Bluetooth Mouse"
T50,"Printer, File Folder, No. 2 Pencils"
T51,"Printer Paper, Pilot G2 Pens, Stapler"
T52,"Bluetooth Mouse, Printer Ink Cartridge"
T53,"Sticky Notes, Spiral Notebook"
T54,"File Folder, No. 2 Pencils, Pilot G2 Pens"
T55,"Printer, Printer Paper, Stapler"
T56,"Printer Ink Cartridge, Bluetooth Mouse"
T57,"No. 2 Pencils, Spiral Notebook, Sticky Notes"
T58,"Pilot G2 Pens, File Folder, Printer"
T59,"Printer Paper, Stapler, No. 2 Pencils"
T60,"Bluetooth Mouse, Printer Ink Cartridge, Spiral Notebook"
T61,"Sticky Notes, Pilot G2 Pens, File Folder"
T62,"Printer, Printer Paper, No. 2 Pencils"
T63,"Stapler, Bluetooth Mouse"
T64,"Printer Ink Cartridge, Spiral Notebook, Sticky Notes"
T65,"File Folder, No. 2 Pencils, Pilot G2 Pens"
T66,"Printer Paper, Printer, Stapler"
T67,"Bluetooth Mouse, No. 2 Pencils"
T68,"Spiral Notebook, Sticky Notes, Printer Ink Cartridge"
T69,"Pilot G2 Pens, File Folder, Printer"
T70,"Printer Paper, Bluetooth Mouse"
T71,"Stapler, No. 2 Pencils, Pilot G2 Pens"
T72,"Sticky Notes, Printer Ink Cartridge"
T73,"Spiral Notebook, File Folder, Printer"
T74,"No. 2 Pencils, Bluetooth Mouse, Stapler"
T75,"Printer Paper, Pilot G2 Pens"
T76,"Printer, Sticky Notes"
T77,"Printer Ink Cartridge, No. 2 Pencils"
T78,"File Folder, Bluetooth Mouse, Spiral Notebook"
T79,"Stapler, Pilot G2 Pens, Printer"
T80,"Sticky Notes, Printer Paper, No. 2 Pencils"
T81,"Sticky Notes, No. 2 Pencils, Printer Paper, Pilot G2 Pens"
T82,"Bluetooth Mouse, Stapler, File Folder, Printer"
T83,"Printer Ink Cartridge, Spiral Notebook, No. 2 Pencils, Sticky Notes"
T84,"Pilot G2 Pens, Printer Paper, Bluetooth Mouse, Stapler"
T85,"File Folder, Printer, Printer Ink Cartridge, Spiral Notebook"
T86,"No. 2 Pencils, Sticky Notes, Bluetooth Mouse, Pilot G2 Pens, Stapler"
T87,"Printer Paper, Printer, File Folder, No. 2 Pencils"
T88,"Pilot G2 Pens, Printer Ink Cartridge, Sticky Notes, Spiral Notebook"
T89,"Bluetooth Mouse, Stapler, Printer, No. 2 Pencils, Printer Paper"
T90,"Spiral Notebook, File Folder, Sticky Notes, Pilot G2 Pens, Printer Ink Cartridge"
T91,"No. 2 Pencils, Printer, Bluetooth Mouse, Stapler, Printer Paper"
T92,"Printer Paper, Pilot G2 Pens, Spiral Notebook, Sticky Notes, File Folder"
T93,"Printer Ink Cartridge, No. 2 Pencils, Bluetooth Mouse, Stapler"
T94,"Sticky Notes, File Folder, Printer, Pilot G2 Pens, Spiral Notebook"
T95,"Printer, Printer Paper, No. 2 Pencils, Stapler, Bluetooth Mouse"
T96,"Pilot G2 Pens, Sticky Notes, File Folder, No. 2 Pencils, Printer Ink Cartridge"
T97,"Spiral Notebook, Bluetooth Mouse, Stapler, Printer, Printer Paper"
T98,"Printer Ink Cartridge, No. 2 Pencils, Pilot G2 Pens, Sticky Notes"
T99,"File Folder, Printer, Bluetooth Mouse, Spiral Notebook, Stapler"
T100,"Printer Paper, No. 2 Pencils, Pilot G2 Pens, Sticky Notes, Printer Ink Cartridge"
